Sections,Instruments,Articulations (Techniques)
Strings,Violins 1,Long
Brass,Violins 2,Spiccato
Woodwinds,Violas,Pizzicato
Percussion,Celli,Tremolo
,Basses,Staccatissimo
,Horns a4,Harp Plucks
,Trumpets a3,Celeste
,Tenor Trombones a3,Timpani Hits
,Bass Trombones a2,Untuned Percussion
,Tuba,Tubular Bells
,Flutes a3,Marimba
,Piccolo,Xylophone
,Oboes a3,Glockenspiel
,Clarinets a3,
,Bassoons a3,
,Harp and Celeste,
,Percussion,
,Tuned Percussion,
